# M4/GeV Ue4sqr
1.17037037e-1 2.80721620e-7
1.22962963e-1 9.61077966e-8
1.34814815e-1 6.39785632e-8
1.49629630e-1 4.79771541e-8
1.70370370e-1 3.52706768e-8
1.79259259e-1 2.46741033e-8
2.11851852e-1 1.30731219e-8
2.44444444e-1 8.96574137e-9
2.74074074e-1 6.79041867e-9
3.21481481e-1 4.84556951e-9
3.68888889e-1 3.59777900e-9
4.25185185e-1 2.69795364e-9
5.08148148e-1 1.79601659e-9
5.79259259e-1 1.41534420e-9
6.74074074e-1 1.07194478e-9
7.19169593e-1 9.97654280e-10
7.57260885e-1 8.88851431e-10
7.79997548e-1 7.91865522e-10
8.15394399e-1 7.31576840e-10
8.38131062e-1 6.50624600e-10
8.73527912e-1 6.02130631e-10
8.95138815e-1 5.38323426e-10
9.32325809e-1 4.82230810e-10
9.70417101e-1 4.34500501e-10
9.93153764e-1 3.85919762e-10
1.02690811e+0 3.57973281e-10
1.05025379e+0 3.17497171e-10
1.08734851e+0 2.83291342e-10
1.12543980e+0 2.55172808e-10
1.14817647e+0 2.27625255e-10
1.18377090e+0 2.13885037e-10
1.21133828e+0 1.96652540e-10
1.25307516e+0 1.88028209e-10
1.29570641e+0 1.75071033e-10
1.33833765e+0 1.63971466e-10
1.38096889e+0 1.54484521e-10
1.42360014e+0 1.46580739e-10
1.46623138e+0 1.39657009e-10
1.50886262e+0 1.34243300e-10
1.55149386e+0 1.30802704e-10
1.59412511e+0 1.27525518e-10
1.63675635e+0 1.26999849e-10
1.67938759e+0 1.31965613e-10
1.71814327e+0 1.37413543e-10
1.78045047e+0 1.69888592e-10
1.80728132e+0 1.74589598e-10
1.84216143e+0 2.83020822e-10
1.85333333e+0 2.23428171e-10
1.88000000e+0 2.77949257e-10
1.90804608e+0 3.53230157e-10
1.92524391e+0 4.48627070e-10
1.94486397e+0 5.74824215e-10
1.95206145e+0 7.20268480e-10
1.95810549e+0 9.10850943e-10
1.96282077e+0 1.18780010e-9
1.96617959e+0 1.45380924e-9
1.97481481e+0 5.79336691e-9
2.00740741e+0 6.92655427e-9
2.03111111e+0 7.64928231e-9
2.08444444e+0 7.64928231e-9
2.18222222e+0 7.64928231e-9
2.32148148e+0 7.64928231e-9
2.46370370e+0 8.11863018e-9
2.61185185e+0 8.96574137e-9
2.70370370e+0 9.90124154e-9
2.78962963e+0 1.11535673e-8
2.80148148e+0 1.20752617e-8
2.95057376e+0 1.55907907e-8
2.99320500e+0 1.65697228e-8
3.03583624e+0 1.74631791e-8
3.07846748e+0 1.80179608e-8
3.12109873e+0 1.82641665e-8
3.16372997e+0 1.81459990e-8
3.20636121e+0 1.82103589e-8
3.24899246e+0 1.80179608e-8
3.29162370e+0 1.73911946e-8
3.33425494e+0 1.66088792e-8
3.37688619e+0 1.62023112e-8
3.41951743e+0 1.58992382e-8
3.46214867e+0 1.56018344e-8
3.50477992e+0 1.52109395e-8
3.54741116e+0 1.47165122e-8
3.59004240e+0 1.42213627e-8
3.63267365e+0 1.37834801e-8
3.67530489e+0 1.33511994e-8
3.71793613e+0 1.29477475e-8
3.76056738e+0 1.25490801e-8
3.80319862e+0 1.22274528e-8
3.84582986e+0 1.19704440e-8
3.88846111e+0 1.17188374e-8
3.93109235e+0 1.14522279e-8
3.97372359e+0 1.12048998e-8
4.01635484e+0 1.09888199e-8
4.05898608e+0 1.07514998e-8
4.10161732e+0 1.05628458e-8
4.14424856e+0 1.03652621e-8
4.18687981e+0 1.01773780e-8
4.22951105e+0 9.99289957e-9
4.27214229e+0 9.82335144e-9
4.31477354e+0 9.67949995e-9
4.35740478e+0 9.53212858e-9
4.40003602e+0 9.40363303e-9
4.44266727e+0 9.27139712e-9
4.48529851e+0 9.15721699e-9
4.52792975e+0 9.06046816e-9
4.57056100e+0 8.99653749e-9
4.61319224e+0 8.99653749e-9
4.65582348e+0 8.98592632e-9
4.69845473e+0 8.98062543e-9
4.74108597e+0 8.99653749e-9
4.78371721e+0 9.01247774e-9
4.82634846e+0 9.07652169e-9
4.86897970e+0 9.11409062e-9
4.91161094e+0 9.20054743e-9
4.95424219e+0 9.29330659e-9
4.99687343e+0 9.39254171e-9
5.03950467e+0 9.52088569e-9
5.08213592e+0 9.65668000e-9
5.12476716e+0 9.84075666e-9
5.16739840e+0 1.00401843e-8
5.21002964e+0 1.02195035e-8
5.25266089e+0 1.04020254e-8
5.29529213e+0 1.06504688e-8
5.33792337e+0 1.09048461e-8
5.38055462e+0 1.11916839e-8
5.42318586e+0 1.16155685e-8
5.46581710e+0 1.21340137e-8
5.50844835e+0 1.26830808e-8
5.55107959e+0 1.34302157e-8
5.59532565e+0 1.43718068e-8
5.63838185e+0 1.53347388e-8
5.67897332e+0 1.69955362e-8
5.71915684e+0 1.94044480e-8
5.75362899e+0 2.30425175e-8
5.76960198e+0 2.80153394e-8
5.77903343e+0 3.27186216e-8
